TransDate,TransactionDescription,Amount,Balance,Category
2-Aug,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TH6BW6D10 Amzn.com/bill WA 5942,-203.65,372.73,SHOPPING
2-Aug,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TH7MR6D90 Amzn.com/bill WA 5942,-8.65,364.08,SHOPPING
2-Aug,Withdrawal Home Banking Transfer To Share 11....................  REF# 61993259,-200,164.08,TRANSFERS
2-Aug,Recurring Withdrawal #321421106093...................................  Audible*TH6FO2M21 Amzn.com/bill NJ,-16.18,147.9,Others
3-Aug,Withdrawal Debit Card Visa Check...........................................  McDonalds 26480 COLORADO SPRI CO 5814,-3.33,144.57,DINING
3-Aug,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-3.1,141.47,Others
3-Aug,Recurring Withdrawal Debit Card Visa Check..........................  APPLE.COM/BILL 866-712-7753 CA 5818,-0.99,140.48,Others
3-Aug,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0659R CO SPRIN CO SPRINGS CO 5541,-7.46,133.02,Others
3-Aug,"Deposit Home Banking Transfer REF# 62036259....................  From HODGES,JUSTINE B 532694 Share 00",275,408.02,TRANSFERS
4-Aug,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,867.46,"1,275.48",INCOME/SALARY
4-Aug,Withdrawal Home Banking Transfer To Share 11....................  REF# 62069132,-300,975.48,TRANSFERS
4-Aug,"Withdrawal Home Banking Transfer REF# 62069143..............  To HODGES,JUSTINE B 532694 Share 01",-100,875.48,TRANSFERS
4-Aug,"Withdrawal Home Banking Transfer REF# 62069166..............  To HODGES,JUSTINE B 532694 Share 11 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 2-7 AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 4 of 13 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance",-35,840.48,TRANSFERS
4-Aug,"Withdrawal Home Banking Transfer REF# 62069186..............  To HODGES,JUSTINE B 532694 Share 12",-100,740.48,TRANSFERS
4-Aug,Withdrawal Home Banking Transfer To Share 13....................  REF# 62069205,-140,600.48,TRANSFERS
5-Aug,Withdrawal Debit Card Visa Check...........................................  VENMO* Visa Direct NY 4829,-15,585.48,Others
5-Aug,Withdrawal Debit Card Visa Check...........................................  CHICK-FIL-A #02342 COLO SPGS CO 5814,-18.48,567,DINING
6-Aug,Withdrawal Debit Card Visa Check...........................................  MENS WEARHOUSE #1307 COLORADO SPRI CO 5611,-65.4,501.6,Others
6-Aug,Withdrawal Debit Card Visa Check...........................................  BAD DADDY’S BURGER BAR COLORADO SPRI CO 5812,-57,444.6,Others
6-Aug,Withdrawal POS #321815699849...........................................  COSTCO WHSE #1014 COLORADO SPRI CO 5300,-104.43,340.17,GROCERIES
6-Aug,Withdrawal POS #321819427209...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO 5411,-121.26,218.91,GROCERIES
6-Aug,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TA8UX4E40 Amzn.com/bill WA 5942,-141.42,77.49,SHOPPING
6-Aug,Deposit Home Banking Transfer From Share 00......................  REF# 62131774,120,197.49,TRANSFERS
6-Aug,Withdrawal Debit Card Visa Check...........................................  LEVELUPSMOOTHIEKING26 855-466-5585 MA 5812,-21.06,176.43,Others
7-Aug,08/06 Withdrawal Debit Card Visa Check...........................................  GARDEN OF THE GODS LIQU COLORADO SPRI CO 5921,-22.59,153.84,Others
7-Aug,Withdrawal Debit Card Visa Check...........................................  Amazon.com*TA3GE9HQ2 Amzn.com/bill WA 5942,-94.36,59.48,Others
7-Aug,Recurring Withdrawal Debit Card Visa Check..........................  COOKBOOK MOUNT COOLUM AU 5817,-1.49,57.99,Others
7-Aug,Recurring Withdrawal Card Fee...............................................  VISA INTERNATIONAL SERVICE ASSESSMENT Date 08/07/23 W/D PRENOTIFICATION FROM SAFECO INSURANCE,-0.01,57.98,Others
7-Aug,Withdrawal NSF Fee.................................................................  In the amount $275.00 SAFECO INS. CO.,-30,27.98,Others
7-Aug,Deposit Transfer From Share 00..............................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 5 of 13 1111111111111111111111010011001100110001001110011000100010000001110000001101110011000001101011100010000001000100001111100011000000111000100110000000010001000101110010100111110111001010000100110001010101000011111011110111111010000111010011011101100101011011010111111010000011110100100001001100110000111111011111001000001000010011010000001101111011010111111010110101000100000101010010000100100110011100110110011100100111000110110001011100110111000110001000101011010101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,66.38,94.36,TRANSFERS
7-Aug,Withdrawal Debit Card Visa Check...........................................  Amazon.com*TA5T87TQ1 Amzn.com/bill WA 5942,-94.36,0,Others
7-Aug,Deposit Transfer From Share 00.............................................. ,12.97,12.97,TRANSFERS
7-Aug,Withdrawal POS #321921031047...........................................  PETCO 1472 COLORADO SPRI CO 5995,-12.97,0,SHOPPING
8-Aug,Deposit Transfer From Share 00.............................................. ,15.41,15.41,TRANSFERS
8-Aug,Withdrawal Debit Card Visa Check...........................................  TARGET 00022210 COLORADO SPRI CO 5411,-15.41,0,SHOPPING
8-Aug,"Deposit Home Banking Transfer REF# 62179031....................  From HODGES,JUSTINE B 532694 Share 00",50,50,TRANSFERS
8-Aug,Deposit Home Banking Transfer From Share 13......................  REF# 62191909,75,125,TRANSFERS
9-Aug,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TA0RF85F1 Amzn.com/bill WA 5942,-21.88,103.12,SHOPPING
9-Aug,Withdrawal Debit Card Visa Check...........................................  CO E-GOV SERVICES EMV 303-534-3468 CO 9399,-2.5,100.62,Others
9-Aug,"Deposit Home Banking Transfer REF# 62204653....................  From HODGES,JUSTINE B 532694 Loan 01",300,400.62,TRANSFERS
9-Aug,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TA75J5I52 Amzn.com/bill WA 5942,-7.73,392.89,SHOPPING
9-Aug,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0659R CO SPRIN CO SPRINGS CO 5542,-70.02,322.87,Others
9-Aug,Withdrawal Debit Card Visa Check...........................................  SQ *K BARBER NEXT LEVEL Colorado Spri CO 7230,-40.5,282.37,Others
9-Aug,Withdrawal Debit Card Visa Check...........................................  VENMO* Visa Direct NY 4829,-100,182.37,Others
9-Aug,Withdrawal Debit Card Visa Check...........................................  PP*DUTCHBROSLL GRANTS PASS OR 5499,-14.05,168.32,Others
10-Aug,08/09 Withdrawal Debit Card Visa Check...........................................  PRICELN*COURTYARD BY M 203-299-8000 CT 4722 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 3-7 AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 6 of 13 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,-139.7,28.62,Others
10-Aug,Deposit Transfer From Share 00..............................................  KUM&GO 0667R CO SPRIN CO SPRINGS CO 5542,3.34,31.96,TRANSFERS
10-Aug,Deposit Home Banking Transfer From Share 13......................  REF# 62237470,65,56.96,TRANSFERS
10-Aug,Withdrawal Debit Card Visa Check...........................................  ULTA #779 COLORADO SPRI CO 5977,-47.95,9.01,Others
10-Aug,Deposit Home Banking Transfer From Share 00......................  REF# 62244036,90,99.01,TRANSFERS
10-Aug,"Deposit Home Banking Transfer REF# 62246273....................  From HODGES,JUSTINE B 532694 Share 00",50,149.01,TRANSFERS
11-Aug,Withdrawal Debit Card Visa Check...........................................  SUMUP *TENACIOUS SPRAY COLORADO SPRI CO 7230,-86.25,62.76,Others
11-Aug,Withdrawal Debit Card Visa Check...........................................  CO DRIVER SERVICES DENVER CO 9399,-32.33,30.43,Others
11-Aug,Deposit ACH Colorado Springs................................................  TYPE: PR PAYMENT CO: Colorado Springs,"1,318.98","1,349.41",INCOME/SALARY
11-Aug,Withdrawal Home Banking Transfer To Share 11....................  REF# 62265767,-300,"1,049.41",TRANSFERS
11-Aug,Withdrawal Home Banking Transfer To Share 13....................  REF# 62265789,-160,889.41,TRANSFERS
11-Aug,"Withdrawal Home Banking Transfer REF# 62265931..............  To HODGES,JUSTINE B 532694 Share 11",-70,819.41,TRANSFERS
11-Aug,"Withdrawal Home Banking Transfer REF# 62265952..............  To HODGES,JUSTINE B 532694 Share 01",-150,669.41,TRANSFERS
11-Aug,"Withdrawal Home Banking Transfer REF# 62266000..............  To HODGES,JUSTINE B 532694 Share 12",-100,569.41,TRANSFERS
11-Aug,Withdrawal Debit Card Visa Check...........................................  TARGET 00015016 COLORADO SPRI CO 5411,-16.73,552.68,SHOPPING
11-Aug,Recurring Withdrawal #322320700689...................................  ADOBE CREATIVE CLOUD 408-536-6000 CA,-20.6,532.08,Others
11-Aug,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-3.1,528.98,Others
12-Aug,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 7 of 13 1111111111111111111111010011001100110011001110011000100010010001110000001101110011000001101011100010000001001100001111100011000010011000100110000000010001000101110010100101010111001010000100011111010101000011111001101011111010000111110000011101100101011001011111111010000011101000011111011100110011000011011111001000001101001011110001011110101010001111111111101111111111000100000011111001110111011000110101001100011111001010010010010100110111000010001001001011010101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance ULTA #133 COLORADO SPRI CO 5977,-32.46,496.52,Others
12-Aug,Withdrawal Debit Card Visa Check...........................................  IN N OUT BURGER 359 COLORADO SPRI CO 5814,-14.31,482.21,Others
13-Aug,Withdrawal POS #322500936784...........................................  SEI 33042 8750 S YOSEMITE US LONE TREE CO 5542,-74.05,408.16,Others
14-Aug,Recurring Withdrawal #322610607420...................................  8667127753 APPLE COM BILL CUPERTINO CA,-15.99,392.17,Others
14-Aug,Withdrawal POS #322617831031...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO 5411,-7.43,384.74,GROCERIES
14-Aug,Withdrawal POS #322614660112...........................................  COSTCO WHSE #1014 COLORADO SPRI CO 5300,-151.88,232.86,GROCERIES
14-Aug,Withdrawal Debit Card Visa Check...........................................  BJS RESTAURANTS 502 COLORADO SPRI CO 5812 Amazon.com Pending credit/return for $94.08 on card 0950 Amazon.com Pending credit/return for $94.08 on card 0950,-32,200.86,Others
14-Aug,Withdrawal Adjustment Debit Card Credit Voucher.................  Amazon.com Amzn.com/bill WA 5942,94.08,294.94,Others
14-Aug,Withdrawal Adjustment Debit Card Credit Voucher.................  Amazon.com Amzn.com/bill WA 5942,94.08,389.02,Others
14-Aug,Recurring Withdrawal Debit Card Visa Check..........................  APPLE.COM/BILL 866-712-7753 CA 5818,-0.99,388.03,Others
15-Aug,Withdrawal Debit Card Visa Check...........................................  SCHEELS COLORADO SPRING COLORADO SPRI CO 5941,-58.05,329.98,Others
15-Aug,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0659R CO SPRIN CO SPRINGS CO 5541,-6.23,323.75,Others
15-Aug,Recurring Withdrawal Debit Card Visa Check..........................  KING SOOPERS #5119 866-576-4377 CO 5411,-52.13,271.62,GROCERIES
15-Aug,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 4-7 AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 8 of 13 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance RAISING CANES 0403 COLORADO SPRI CO 5814,-18.94,252.68,DINING
15-Aug,Withdrawal Debit Card Visa Check...........................................  SQ *LUMPIA HOUSE LLC Colorado Spri CO 5814,-13.55,239.13,Others
16-Aug,"Deposit Home Banking Transfer REF# 62410598....................  From HODGES,JUSTINE B 532694 Share 00",172,411.13,TRANSFERS
16-Aug,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-3.1,408.03,Others
18-Aug,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,932.94,"1,340.97",INCOME/SALARY
18-Aug,Withdrawal Home Banking Transfer To Share 11....................  REF# 62464997,-300,"1,040.97",TRANSFERS
18-Aug,"Withdrawal Home Banking Transfer REF# 62465057..............  To HODGES,JUSTINE B 532694 Share 11",-35,"1,005.97",TRANSFERS
18-Aug,"Withdrawal Home Banking Transfer REF# 62465073..............  To HODGES,JUSTINE B 532694 Share 01",-100,905.97,TRANSFERS
18-Aug,"Withdrawal Home Banking Transfer REF# 62465075..............  To HODGES,JUSTINE B 532694 Share 12 AMZN Mktp US Pending credit/return for $94.08 on card 0950",-100,805.97,SHOPPING
18-Aug,Withdrawal Adjustment Debit Card Credit Voucher.................  AMZN Mktp US Amzn.com/bill WA 5942,94.08,900.05,SHOPPING
19-Aug,Withdrawal POS #323115711152...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO 5411,-31.37,868.68,GROCERIES
19-Aug,Withdrawal Debit Card Visa Check...........................................  crypto.com Miami FL 6051,-370.65,498.03,Others
20-Aug,Withdrawal Debit Card Visa Check...........................................  SP TRUECLASSICTEES.C HTTPSTRUECLAS CA 5611,-130.33,367.7,Others
20-Aug,Withdrawal POS #323200116086...........................................  KING SOOPERS #719 FUEL 9255 N UNION BL COLORADO SPRI CO 5542,-64.76,302.94,GROCERIES
20-Aug,Withdrawal POS #323213832536...........................................  COSTCO WHSE #1014 COLORADO SPRI CO 5300,-109.2,193.74,GROCERIES
20-Aug,Withdrawal POS #323220528080...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO 5411 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 9 of 13 1111111111111111111111010011001100110101001110011000100010000001110000001101110011000001101011100010000001101100001111100011000000111000100110000000111101000101110010100110010111001010000100001001010101000011111011001011111010000111101000011101100101011010011010111110000011001011100111001100110011100111110111001000111101000011110001101101011010000111111010101101010111100100100100111111101000011111111011101110000111000011110000000100010111000110001000101011110101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,-45.22,148.52,GROCERIES
21-Aug,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0659R CO SPRIN CO SPRINGS CO 5541,-15.22,133.3,Others
21-Aug,Recurring Withdrawal Debit Card Visa Check..........................  KING SOOPERS #5119 866-576-4377 CO 5411,-83.98,49.32,GROCERIES
21-Aug,Deposit Home Banking Transfer From Share 00......................  REF# 62561047,160,209.32,TRANSFERS
21-Aug,Deposit Home Banking Transfer From Share 00......................  REF# 62561103,25,234.32,TRANSFERS
21-Aug,Deposit Home Banking Transfer From Share 13......................  REF# 62562789,85,319.32,TRANSFERS
21-Aug,Withdrawal POS #323300126576...........................................  KING SOOPERS #719 FUEL 9255 N UNION BL COLORADO SPRI CO 5542,-77.64,241.68,GROCERIES
22-Aug,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-3.1,238.58,Others
23-Aug,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TQ58I0QG0 Amzn.com/bill WA 5942,-199.22,39.36,SHOPPING
23-Aug,Withdrawal Debit Card Visa Check...........................................  VENMO* Visa Direct NY 4829,-15,24.36,Others
23-Aug,Deposit Home Banking Transfer From Share 00......................  REF# 62611048,350,374.36,TRANSFERS
23-Aug,Withdrawal POS #323500415517...........................................  TJMAXX #0251 3999 PALMER PARK BLVD. COLORADO SPRI CO 5310,-51.89,322.47,Others
24-Aug,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0659R CO SPRIN CO SPRINGS CO 5541,-11.27,311.2,Others
24-Aug,Withdrawal Debit Card Visa Check...........................................  BUFF CITY SOAP - DUBLIN COLORADO SPRI CO 5099,-41.68,269.52,Others
24-Aug,Withdrawal Debit Card Visa Check...........................................  PLATO’S CLOSET COLORADO SPRI CO 5931,-61.66,207.86,Others
24-Aug,Deposit Home Banking Transfer From Share 00......................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 5-7 AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 10 of 13 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance REF# 62642305,130,337.86,TRANSFERS
24-Aug,Deposit Home Banking Transfer From Share 00......................  REF# 62651577,215,552.86,TRANSFERS
24-Aug,Withdrawal Debit Card Visa Check...........................................  CHICK-FIL-A #03985 COLORADO SPRI CO 5814,-10.44,542.42,DINING
25-Aug,Withdrawal Debit Card Visa Check...........................................  APPLE.COM/BILL 866-712-7753 CA 5818,-64.87,477.55,Others
25-Aug,Withdrawal Debit Card Visa Check...........................................  IK MULTIMEDIA US LLC 9548469101 FL 5732,-216.39,261.16,Others
25-Aug,Withdrawal Debit Card Visa Check...........................................  GUITARCENTER.COM INTERN 866-498-7882 CA 5733,-140.65,120.51,Others
25-Aug,Deposit ACH Colorado Springs................................................  TYPE: PR PAYMENT CO: Colorado Springs,605.23,725.74,INCOME/SALARY
25-Aug,Withdrawal Debit Card Visa Check...........................................  CHEBA HUT- COLORADO SPR COLORADO SPRI CO 5812,-29.74,696,Others
25-Aug,Withdrawal Debit Card Visa Check...........................................  CHEBA HUT- COLORADO SPR COLORADO SPRI CO 5812,-3.26,692.74,Others
25-Aug,Withdrawal Home Banking Transfer To Share 11....................  REF# 62681663,-300,392.74,TRANSFERS
25-Aug,Withdrawal POS #323800833669...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO 5411,-8.78,383.96,GROCERIES
25-Aug,Withdrawal Debit Card Visa Check...........................................  VENMO* Visa Direct NY 4829,-18,365.96,Others
26-Aug,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*T30ZT3Z50 Amzn.com/bill WA 5942,-10.01,355.95,SHOPPING
26-Aug,Deposit Home Banking Transfer From Share 00......................  REF# 62713024,600,955.95,TRANSFERS
26-Aug,Withdrawal Debit Card Visa Check...........................................  RAISING CANES 0403 COLORADO SPRI CO 5814,-12.66,943.29,DINING
27-Aug,Withdrawal Debit Card Visa Check...........................................  SCHEELS COLORADO SPRING COLORADO SPRI CO 5941,-516.05,427.24,Others
27-Aug,Withdrawal Debit Card Visa Check...........................................  DUTCH BROS 541-955-4700 OR 5814 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 11 of 13 1111111111111111111111010011001100110111001110011000100010010001110000001101110011000001101011100010000001100100001111100011000010011000100110000000111101000101110010100100110111001010000100100111010101000011111001010111111010000111001011011101100101011000010010111110000011010111011001011100110000011011110111001000111000011011010000111110001011011111111111110111101100100101110101000010111001011011111000111110111111001111010011001100010111000010001001001011110101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,-10,417.24,Others
27-Aug,Withdrawal Debit Card Visa Check...........................................  TACO BELL 037416 COLORADO SPRI CO 5814 SCHEELS COLORADO SPRING Pending credit/return for $213.62 on card 0950,-10.87,406.37,DINING
27-Aug,Deposit Home Banking Transfer From Share 00......................  REF# 62734632,200,606.37,TRANSFERS
27-Aug,Withdrawal POS #323918639992...........................................  COSTCO WHSE #1014 COLORADO SPRI CO 5300,-127.08,479.29,GROCERIES
27-Aug,Withdrawal Debit Card Visa Check...........................................  DUTCH BROS 541-955-4700 OR 5814,-10,469.29,Others
27-Aug,Withdrawal Debit Card Visa Check...........................................  POSHMARK 650-488-7740 CA 5931,-35.56,433.73,Others
28-Aug,Withdrawal Adjustment Debit Card Credit Voucher.................  SCHEELS COLORADO SPRING COLORADO SPRI CO 5941,213.62,647.35,Others
28-Aug,Withdrawal Debit Card Visa Check...........................................  SCHEELS COLORADO SPRING COLORADO SPRI CO 5941,-210.34,437.01,Others
28-Aug,Withdrawal POS #324000117257...........................................  KING SOOPERS #719 FUEL 9255 N UNION BL COLORADO SPRI CO 5542,-70.58,366.43,GROCERIES
28-Aug,Withdrawal Debit Card Visa Check...........................................  TACO BELL 037413 COLORADO SPRI CO 5814,-16.44,349.99,DINING
28-Aug,Withdrawal POS #324013343815...........................................  MURPHY EXPRESS 8984 COLORADO SPRI CO 5541,-2.89,347.1,SHOPPING
28-Aug,Withdrawal Debit Card Visa Check...........................................  SP JIV ATHLETICS HTTPSJIVATHLE CA 5699,-68.4,278.7,Others
28-Aug,Recurring Withdrawal Debit Card Visa Check..........................  KING SOOPERS #5119 866-576-4377 CO 5411,-65.31,213.39,GROCERIES
28-Aug,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0667R CO SPRIN CO SPRINGS CO 5541,-7.57,205.82,Others
30-Aug,Withdrawal Debit Card Visa Check...........................................  POSHMARK 650-488-7740 CA 5931,-94.81,111.01,Others
30-Aug,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 6-7 AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 12 of 13 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance DUTCH BROS 541-955-4700 OR 5814,-10,101.01,Others
31-Aug,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-3.1,97.91,Others
31-Aug,"Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.030% for period: 08/01/23 to 08/31/23 Ending Balance............................................................................. 97.92 Total for this period Total year-to-date Total Courtesy Pay (Overdraft) Fees $0.00 $0.00 Total Returned Item (Non Sufficient Funds) Fees $30.00 $30.00 The information above is provided to assist you in the management of your checking account. Month to Date (MTD) figures only include fees assessed during the current month. Year to Date (YTD) totals reflect the net fees assessed for the current year. No Strings Checking - 11 NO STRINGS CHECKING Dividends Earned YTD: 0.18 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (6) - Checks Cleared (0) - Withdrawals & Other Debits (1) = Ending Balance $100.14 $1,400.04 $0.00 $1,200.00 $300.18 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 100.14",0.01,97.92,YIELD
2-Aug,Deposit Home Banking Transfer From Share 10......................  REF# 61993259,200,300.14,TRANSFERS
4-Aug,Deposit Home Banking Transfer From Share 10......................  REF# 62069132,300,600.14,TRANSFERS
11-Aug,Deposit Home Banking Transfer From Share 10......................  REF# 62265767,300,900.14,TRANSFERS
18-Aug,Deposit Home Banking Transfer From Share 10......................  REF# 62464997,300,"1,200.14",TRANSFERS
25-Aug,Deposit Home Banking Transfer From Share 10......................  REF# 62681663,300,"1,500.14",TRANSFERS
30-Aug,Withdrawal Home Banking......................................................  ACH WITHDRAWAL US BANK NA - JUSTINE HODGES,"-1,200.00",300.14,Others
31-Aug,Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.050% for period: 08/01/23 to 08/31/23 Ending Balance............................................................................. 300.18 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 13 of 13 1111111111111111111111010001001100111001001110011000100010010001110000001101110011000001101011100010000001101100001111100011000010011000100110000000010101000101110010100110010111001010000100010001010101000011111010001011111010000111011101101100100101011010001100111010000011100000111001001100110000011010010111001000100000101100110001101100111111001111111100100100100001000101101101001001011001111001110001010011100011001000010000110100100111000100111000101010010101010101010101010101 No Strings Checking - 12 NO STRINGS CHECKING Dividends Earned YTD: 0.01 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (0) - Checks Cleared (0) - Withdrawals & Other Debits (0) = Ending Balance $0.00 $0.00 $0.00 $0.00 $0.00 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 0.00 Ending Balance............................................................................. 0.00 No Strings Checking - 13 NO STRINGS CHECKING Dividends Earned YTD: 0.01 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (2) - Checks Cleared (0) - Withdrawals & Other Debits (3) = Ending Balance $0.00 $300.00 $0.00 $225.00 $75.00 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 0.00,0.04,300.18,YIELD
4-Aug,Deposit Home Banking Transfer From Share 10......................  REF# 62069205,140,140,TRANSFERS
8-Aug,Withdrawal Home Banking Transfer To Share 10....................  REF# 62191909,-75,65,TRANSFERS
10-Aug,Withdrawal Home Banking Transfer To Share 10....................  REF# 62237470,-65,0,TRANSFERS
11-Aug,Deposit Home Banking Transfer From Share 10......................  REF# 62265789,160,160,TRANSFERS
21-Aug,"Withdrawal Home Banking Transfer To Share 10....................  REF# 62562789 Ending Balance............................................................................. 75.00 YEAR-TO-DATE DIVIDEND SUMMARY Reportable Dividends this Year:............................................................................. 0.54 Reportable dividends of $10.00 or more are reported to the IRS as interest income for the year. ** The Visa Foreign Currency Transaction Fee will be assessed to purchases made outside of the United States as well as to online purchases made within the United States, but the merchant is located outside the United States. ** No-cost loan payment alternatives are available, please call 800-525-9623 for more information. Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 7-7",-85,75,TRANSFERS
1-Jul,"Withdrawal Home Banking Transfer REF# 61038140..............  To HODGES,JUSTINE B 532694 Share 01",-170,"1,586.15",TRANSFERS
3-Jul,"Withdrawal Home Banking Transfer REF# 61097741..............  To HODGES,JUSTINE B 532694 Share 10",-25,"1,561.15",TRANSFERS
7-Jul,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,221.12,"1,782.27",INCOME/SALARY
8-Jul,Withdrawal Home Banking Transfer To Share 10....................  REF# 61268088,-175,"1,607.27",TRANSFERS
14-Jul,Deposit Home Banking Transfer From Share 10......................  REF# 61413949,75,"1,682.27",TRANSFERS
21-Jul,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,178.92,"1,861.19",INCOME/SALARY
22-Jul,"Withdrawal Home Banking Transfer REF# 61661367..............  To HODGES,JUSTINE B 532694 Share 00","-1,800.00",61.19,TRANSFERS
23-Jul,Withdrawal Home Banking Transfer To Share 10....................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod07/01/23thru07/31/23 Page 2 of 11 Primary Savings - 00 PRIMARY SAVINGS (continued) TransDate EffDate TransactionDescription Amount Balance REF# 61688352,-30,31.19,TRANSFERS
24-Jul,Withdrawal Home Banking Transfer To Share 10....................  REF# 61703927,-25,6.19,TRANSFERS
31-Jul,"Deposit Dividend 0.050%........................................................  Annual Percentage Yield Earned 0.050% for period: 07/01/23 to 07/31/23 Ending Balance............................................................................. 6.24 No Strings Checking - 10 NO STRINGS CHECKING Dividends Earned YTD: 0.04 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (21) - Checks Cleared (0) - Withdrawals & Other Debits (101)= Ending Balance $594.34 $6,309.23 $0.00 $6,753.15 $150.42 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 594.34",0.05,6.24,YIELD
